q  ,w         ,e         ,r                       ,t             ,y                        ,u           ,i            ,o                         ,p            ,a             ,s             ,d  ,f    ,g              ,h   ,j    ,k ,l
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92193 ,giroscopio:[-0.026379786 ,0.007061256 ,0.141257897 ,acelerometro:[0.141257897 ,-9.831789017 ,-0.487220049 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.59021   ,P:0 ,D:[0 ,0 ,2771}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92200 ,giroscopio:[-0.027712099 ,0.006128637 ,0.158017308 ,acelerometro:[0.158017308 ,-9.823410034 ,-0.470460624 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.4102783 ,P:0 ,D:[0 ,0 ,2775}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92200 ,giroscopio:[-0.028777948 ,0.007727412 ,0.110133275 ,acelerometro:[0.110133275 ,-9.827000618 ,-0.509964943 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.0510254 ,P:0 ,D:[0 ,0 ,2778}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92197 ,giroscopio:[-0.025313934 ,0.0063951   ,0.128089786 ,acelerometro:[0.128089786 ,-9.841365814 ,-0.493205547 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.8598022 ,P:0 ,D:[0 ,0 ,2782}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92199 ,giroscopio:[-0.028245023 ,0.007993874 ,0.165199921 ,acelerometro:[0.165199921 ,-9.810241699 ,-0.494402647 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.0510254 ,P:0 ,D:[0 ,0 ,2786}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92188 ,giroscopio:[-0.028644716 ,0.008393568 ,0.172382519 ,acelerometro:[0.172382519 ,-9.800664902 ,-0.506373644 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.3206177 ,P:0 ,D:[0 ,0 ,2789}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92196 ,giroscopio:[-0.027179174 ,0.005196018 ,0.125695586 ,acelerometro:[0.125695586 ,-9.84974575  ,-0.507570744 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.1407471 ,P:0 ,D:[0 ,0 ,2793}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92196 ,giroscopio:[-0.026379786 ,0.006661562 ,0.159214407 ,acelerometro:[0.159214407 ,-9.81742382  ,-0.466869324 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.7814941 ,P:0 ,D:[0 ,0 ,2797}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92198 ,giroscopio:[-0.02917764  ,0.007460949 ,0.153228909 ,acelerometro:[0.153228909 ,-9.8054533   ,-0.500388145 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.3206177 ,P:0 ,D:[0 ,0 ,2800}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92201 ,giroscopio:[-0.026379786 ,0.004929556 ,0.1316811   ,acelerometro:[0.1316811   ,-9.864110947 ,-0.517147541 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.2304077 ,P:0 ,D:[0 ,0 ,2804}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92192 ,giroscopio:[-0.030643184 ,0.008393568 ,0.159214407 ,acelerometro:[0.159214407 ,-9.832986832 ,-0.506373644 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.6015625 ,P:0 ,D:[0 ,0 ,2808}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92199 ,giroscopio:[-0.026113322 ,0.004663093 ,0.135272399 ,acelerometro:[0.135272399 ,-9.852140427 ,-0.493205547 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.2304077 ,P:0 ,D:[0 ,0 ,2811}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92201 ,giroscopio:[-0.02904441  ,0.007061256 ,0.169988319 ,acelerometro:[0.169988319 ,-9.819818497 ,-0.502782345 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.8711548 ,P:0 ,D:[0 ,0 ,2815}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92204 ,giroscopio:[-0.029710567 ,0.007860643 ,0.14724341  ,acelerometro:[0.14724341  ,-9.828198433 ,-0.512359142 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.4102783 ,P:0 ,D:[0 ,0 ,2819}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92199 ,giroscopio:[-0.026113322 ,0.007594181 ,0.146046311 ,acelerometro:[0.146046311 ,-9.83777523  ,-0.476446152 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.0510254 ,P:0 ,D:[0 ,0 ,2822}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92201 ,giroscopio:[-0.028511487 ,0.007594181 ,0.16759412  ,acelerometro:[0.16759412  ,-9.806650162 ,-0.487220049 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.7814941 ,P:0 ,D:[0 ,0 ,2826}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.5        ,pressao:92196 ,giroscopio:[-0.02904441  ,0.005329249 ,0.153228909 ,acelerometro:[0.153228909 ,-9.838972092 ,-0.505176544 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.59021   ,P:0 ,D:[0 ,0 ,2830}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92197 ,giroscopio:[-0.02691271  ,0.007594181 ,0.129286885 ,acelerometro:[0.129286885 ,-9.847352028 ,-0.493205547 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.4102783 ,P:0 ,D:[0 ,0 ,2833}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92196 ,giroscopio:[-0.027712099 ,0.0063951   ,0.158017308 ,acelerometro:[0.158017308 ,-9.815030098 ,-0.459686726 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.9613647 ,P:0 ,D:[0 ,0 ,2837}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92197 ,giroscopio:[-0.028911179 ,0.006928025 ,0.154426008 ,acelerometro:[0.154426008 ,-9.829395294 ,-0.502782345 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.1407471 ,P:0 ,D:[0 ,0 ,2841}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92199 ,giroscopio:[-0.027312404 ,0.007460949 ,0.143652096 ,acelerometro:[0.143652096 ,-9.838972092 ,-0.524330199 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.6798706 ,P:0 ,D:[0 ,0 ,2844}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92194 ,giroscopio:[-0.026646247 ,0.005595712 ,0.152031809 ,acelerometro:[0.152031809 ,-9.841365814 ,-0.460883826 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.59021   ,P:0 ,D:[0 ,0 ,2848}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92201 ,giroscopio:[-0.02691271  ,0.005329249 ,0.137666598 ,acelerometro:[0.137666598 ,-9.819818497 ,-0.493205547 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.9613647 ,P:0 ,D:[0 ,0 ,2852}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92195 ,giroscopio:[-0.028911179 ,0.007460949 ,0.137666598 ,acelerometro:[0.137666598 ,-9.827000618 ,-0.499191046 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.1407471 ,P:0 ,D:[0 ,0 ,2855}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92198 ,giroscopio:[-0.026513018 ,0.006661562 ,0.143652096 ,acelerometro:[0.143652096 ,-9.834183693 ,-0.503979445 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.9613647 ,P:0 ,D:[0 ,0 ,2859}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92206 ,giroscopio:[-0.028644716 ,0.009992342 ,0.14724341  ,acelerometro:[0.14724341  ,-9.81143856  ,-0.511162043 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.7814941 ,P:0 ,D:[0 ,0 ,2863}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92197 ,giroscopio:[-0.028111791 ,0.007727412 ,0.141257897 ,acelerometro:[0.141257897 ,-9.828198433 ,-0.497993946 ,payload:{G:[0 ,0 ,aG:0 ,aP:803.6798706 ,P:0 ,D:[0 ,0 ,2866}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92195 ,giroscopio:[-0.026646247 ,0.008260337 ,0.171185419 ,acelerometro:[0.171185419 ,-9.835380554 ,-0.511162043 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.9613647 ,P:0 ,D:[0 ,0 ,2870}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92193 ,giroscopio:[-0.028511487 ,0.007327718 ,0.152031809 ,acelerometro:[0.152031809 ,-9.838972092 ,-0.48362875  ,payload:{G:[0 ,0 ,aG:0 ,aP:803.1407471 ,P:0 ,D:[0 ,0 ,2874}}
80 ,{equipe:1 ,bateria:1 ,temperatura:28.60000038 ,pressao:92198 ,giroscopio:[-0.027712099 ,0.005862175 ,0.159214407 ,acelerometro:[0.159214407 ,-9.847352028 ,-0.499191046 ,payload:{G:[0 ,0 ,aG:0 ,aP:802.9613647 ,P:0 ,D:[0 ,0 ,2878}}
   
